,Hour,P95 Runtime
277,2023-06-20 13:00:00,2443.77
278,2023-06-20 14:00:00,2406.02
279,2023-06-20 15:00:00,2370.99
280,2023-06-20 16:00:00,2255.18
281,2023-06-20 17:00:00,2234.97
282,2023-06-20 18:00:00,2176.23
283,2023-06-20 19:00:00,2254.19
284,2023-06-20 20:00:00,2172.95
285,2023-06-20 21:00:00,1912.55
286,2023-06-20 22:00:00,1814.13
287,2023-06-20 23:00:00,1877.15
288,2023-06-21 00:00:00,1909.35
289,2023-06-21 01:00:00,1760.8
290,2023-06-21 02:00:00,1755.6
291,2023-06-21 03:00:00,1837.77
292,2023-06-21 04:00:00,1919.64
293,2023-06-21 05:00:00,2063.36
294,2023-06-21 06:00:00,2037.15
295,2023-06-21 07:00:00,2077.95
296,2023-06-21 08:00:00,1809.68
297,2023-06-21 09:00:00,1810.53
298,2023-06-21 10:00:00,2118.35
299,2023-06-21 11:00:00,2221.35
300,2023-06-21 12:00:00,2190.6
301,2023-06-21 13:00:00,2441.53
302,2023-06-21 14:00:00,2401.83
303,2023-06-21 15:00:00,2392.13
304,2023-06-21 16:00:00,2294.83
305,2023-06-21 17:00:00,2281.97
306,2023-06-21 18:00:00,2228.13
307,2023-06-21 19:00:00,2295.25
308,2023-06-21 20:00:00,2229.44
309,2023-06-21 21:00:00,1943.35
310,2023-06-21 22:00:00,1904.89
311,2023-06-21 23:00:00,1857.68
312,2023-06-22 00:00:00,1974.72
313,2023-06-22 01:00:00,1916.86
314,2023-06-22 02:00:00,1864.31
315,2023-06-22 03:00:00,2264.98
316,2023-06-22 04:00:00,2073.79
317,2023-06-22 05:00:00,1914.64
318,2023-06-22 06:00:00,2108.47
319,2023-06-22 07:00:00,2199.36
320,2023-06-22 08:00:00,1850.85
321,2023-06-22 09:00:00,1770.54
322,2023-06-22 10:00:00,2167.38
323,2023-06-22 11:00:00,2504.91
324,2023-06-22 12:00:00,2352.14
325,2023-06-22 13:00:00,2451.37
326,2023-06-22 14:00:00,2383.71
327,2023-06-22 15:00:00,2375.96
328,2023-06-22 16:00:00,2252.7
329,2023-06-22 17:00:00,2334.37
330,2023-06-22 18:00:00,2257.44
331,2023-06-22 19:00:00,2265.19
332,2023-06-22 20:00:00,2240.5
333,2023-06-22 21:00:00,2049.43
334,2023-06-22 22:00:00,1922.66
335,2023-06-22 23:00:00,1853.57
336,2023-06-23 00:00:00,1921.99
337,2023-06-23 01:00:00,1910.17
338,2023-06-23 02:00:00,1926.14
339,2023-06-23 03:00:00,1948.61
340,2023-06-23 04:00:00,1768.22
341,2023-06-23 05:00:00,1844.64
342,2023-06-23 06:00:00,2138.02
343,2023-06-23 07:00:00,2225.74
344,2023-06-23 08:00:00,1888.2
345,2023-06-23 09:00:00,1779.42
346,2023-06-23 10:00:00,2278.98
347,2023-06-23 11:00:00,2551.98
348,2023-06-23 12:00:00,2282.78
349,2023-06-23 13:00:00,2375.2
350,2023-06-23 14:00:00,2394.53
351,2023-06-23 15:00:00,2352.88
352,2023-06-23 16:00:00,2259.42
353,2023-06-23 17:00:00,2184.79
354,2023-06-23 18:00:00,2241.88
355,2023-06-23 19:00:00,2213.92
356,2023-06-23 20:00:00,2127.32
357,2023-06-23 21:00:00,1931.0
358,2023-06-23 22:00:00,1770.98
359,2023-06-23 23:00:00,1775.3
360,2023-06-24 00:00:00,1824.1
361,2023-06-24 01:00:00,2027.62
362,2023-06-24 02:00:00,2033.58
363,2023-06-24 03:00:00,2054.71
364,2023-06-24 04:00:00,2256.84
365,2023-06-24 05:00:00,1570.92
366,2023-06-24 06:00:00,1395.59
367,2023-06-24 07:00:00,2012.63
368,2023-06-24 08:00:00,1636.03
369,2023-06-24 09:00:00,1658.19
370,2023-06-24 10:00:00,1985.36
371,2023-06-24 11:00:00,2234.6
372,2023-06-24 12:00:00,1993.16
373,2023-06-24 13:00:00,1875.15
374,2023-06-24 14:00:00,1935.77
375,2023-06-24 15:00:00,1799.89
376,2023-06-24 16:00:00,1747.1
377,2023-06-24 17:00:00,1685.01
378,2023-06-24 18:00:00,1591.85
379,2023-06-24 19:00:00,1712.87
380,2023-06-24 20:00:00,1691.56
381,2023-06-24 21:00:00,1525.65
382,2023-06-24 22:00:00,1547.48
383,2023-06-24 23:00:00,1551.39
384,2023-06-25 00:00:00,1626.88
385,2023-06-25 01:00:00,1589.24
386,2023-06-25 02:00:00,1650.19
387,2023-06-25 03:00:00,1741.37
388,2023-06-25 04:00:00,2071.28
389,2023-06-25 05:00:00,2139.31
390,2023-06-25 06:00:00,1999.15
391,2023-06-25 07:00:00,2117.12
392,2023-06-25 08:00:00,1765.18
393,2023-06-25 09:00:00,1711.63
394,2023-06-25 10:00:00,1727.19
395,2023-06-25 11:00:00,1787.28
396,2023-06-25 12:00:00,1800.16
397,2023-06-25 13:00:00,1796.25
398,2023-06-25 14:00:00,1749.04
399,2023-06-25 15:00:00,1583.06
400,2023-06-25 16:00:00,1639.18
401,2023-06-25 17:00:00,1471.28
402,2023-06-25 18:00:00,1486.54
403,2023-06-25 19:00:00,1545.29
404,2023-06-25 20:00:00,1542.3
405,2023-06-25 21:00:00,1584.98
406,2023-06-25 22:00:00,1680.14
407,2023-06-25 23:00:00,1735.83
408,2023-06-26 00:00:00,1958.88
409,2023-06-26 01:00:00,1875.59
410,2023-06-26 02:00:00,1725.71
411,2023-06-26 03:00:00,2141.39
412,2023-06-26 04:00:00,2265.8
413,2023-06-26 05:00:00,2118.25
414,2023-06-26 06:00:00,1955.06
415,2023-06-26 07:00:00,2047.15
416,2023-06-26 08:00:00,1782.92
417,2023-06-26 09:00:00,1759.2
418,2023-06-26 10:00:00,2064.88
419,2023-06-26 11:00:00,2285.44
420,2023-06-26 12:00:00,2311.32
421,2023-06-26 13:00:00,2445.95
422,2023-06-26 14:00:00,2434.42
423,2023-06-26 15:00:00,2427.82
424,2023-06-26 16:00:00,2277.01
425,2023-06-26 17:00:00,2271.14
426,2023-06-26 18:00:00,2289.6
427,2023-06-26 19:00:00,2258.12
428,2023-06-26 20:00:00,2156.49
429,2023-06-26 21:00:00,1911.61
430,2023-06-26 22:00:00,1836.1
431,2023-06-26 23:00:00,1870.41
432,2023-06-27 00:00:00,1914.8
433,2023-06-27 01:00:00,1896.49
434,2023-06-27 02:00:00,1850.12
435,2023-06-27 03:00:00,2157.48
436,2023-06-27 04:00:00,2209.06
437,2023-06-27 05:00:00,2149.75
438,2023-06-27 06:00:00,2050.05
439,2023-06-27 07:00:00,2165.17
440,2023-06-27 08:00:00,2251.69
